"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Hnrnpk",-0.356049410739551,3.65324643882878e-14,"HNRNPK",0.634743052787214,0.00156661386026881,"Down","Up","Discordant"
"Ube2d2a",-0.356177128062047,9.8011260458065e-12,"UBE2D2",0.409872132377405,0.00496467521858178,"Down","Up","Discordant"
"Tuba1a",-0.335381297608355,1.99821403579589e-11,"TUBA1A",0.885338673144257,0.000657902084975456,"Down","Up","Discordant"
"Tsc22d3",-0.372319002789892,9.709431776041e-10,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Cntf",-0.316657507096563,1.46527261664887e-08,"CNTF",2.62653624340717,0.000270677068410278,"Down","Up","Discordant"
"Ddit4",-0.273510266738835,1.24864709816371e-07,"DDIT4",0.774687726686025,0.00446078167606851,"Down","Up","Discordant"
"Art3",-0.260659954139514,5.69138303211979e-07,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Stmn1",-0.273341704006765,1.14571987463785e-06,"STMN1",0.545254135640379,0.0278407251948185,"Down","Up","Discordant"
"Rasal2",-0.219622716129702,2.03875715906827e-06,"RASAL2",0.503969031010408,0.0302095596797724,"Down","Up","Discordant"
"Adipor1",-0.237080920681945,5.18101501638395e-06,"ADIPOR1",1.01296851195654,0.000247113914416857,"Down","Up","Discordant"
"Tsc22d4",-0.205566992187672,9.51830316113762e-06,"TSC22D4",0.890100934935264,3.43188909345328e-06,"Down","Up","Discordant"
"Aldoa",-0.255251766011192,2.68206609548077e-05,"ALDOA",0.93831849059082,0.00055963290968422,"Down","Up","Discordant"
"Chpt1",-0.189342052663358,8.8188049363017e-05,"CHPT1",0.397772016004527,0.0391475624730493,"Down","Up","Discordant"
"Ermp1",-0.146390326796688,0.000135134555191941,"ERMP1",-0.44418200201875,0.0473875006045052,"Down","Down","Concordant"
"Prrg3",-0.202179284907803,0.000387050393006866,"PRRG3",0.928634925958511,0.00548212478871804,"Down","Up","Discordant"
"Slc39a1",-0.176336686113602,0.000410271065264675,"SLC39A1",1.49367660723881,1.95145344298831e-07,"Down","Up","Discordant"
"Gpm6b",-0.250791129230973,0.000527892224991076,"GPM6B",0.648876276531755,0.0449669920396894,"Down","Up","Discordant"
"Rab7",-0.174141437919359,0.000550073838810056,"RAB7A",0.689304933544221,0.00668877939564883,"Down","Up","Discordant"
"Ddx5",-0.181400981150589,0.000633854968708137,"DDX5",0.793816015429833,2.16237727586592e-06,"Down","Up","Discordant"
"Bcl2l1",-0.197894125097954,0.000640491262546022,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Ldlrad3",-0.160086699982709,0.000658292919083111,"LDLRAD3",0.889767821554033,9.28931356781209e-06,"Down","Up","Discordant"
"Clic4",-0.20624962714036,0.000670080130223411,"CLIC4",0.732289462195245,0.00150457165929963,"Down","Up","Discordant"
"Crlf3",-0.196797893727193,0.000671669537293434,"CRLF3",0.674211248765869,0.020962088936711,"Down","Up","Discordant"
"Arid5b",-0.218544599096034,0.000761487783990643,"ARID5B",1.00233724445659,2.65653545696934e-09,"Down","Up","Discordant"
"Klhdc8b",-0.16792059064542,0.001022110090105,"KLHDC8B",-0.686808814256493,0.00445133741981406,"Down","Down","Concordant"
"Paqr7",-0.153394721064284,0.00128070904785198,"PAQR7",-0.41584816805986,0.0237184135370659,"Down","Down","Concordant"
"Hmgcs1",-0.192296566197213,0.00131079995071649,"HMGCS1",0.664451359166214,0.00619868364623705,"Down","Up","Discordant"
"Nfkbia",-0.175359936818765,0.00133011684644366,"NFKBIA",1.98951729214316,9.71898576407927e-16,"Down","Up","Discordant"
"Tet2",-0.226964635657752,0.00164749055906832,"TET2",0.848628377088214,0.0017738303862813,"Down","Up","Discordant"
"Gabarapl2",-0.19551176195943,0.00176112353926807,"GABARAPL2",0.430954070908582,0.00692008078364898,"Down","Up","Discordant"
"Mxd4",-0.139516950597174,0.00191383845811896,"MXD4",-0.495833231453984,0.0196313524124304,"Down","Down","Concordant"
"Rtn3",-0.192279756960739,0.00201757205408233,"RTN3",0.698375370290906,0.00784044884356656,"Down","Up","Discordant"
"Dynlrb1",-0.191784044248818,0.00228187095467608,"DYNLRB1",0.357204958136887,0.0150241876101549,"Down","Up","Discordant"
"Egr2",-0.210384217785603,0.00307902577159834,"EGR2",2.69541505351078,3.07849020254422e-07,"Down","Up","Discordant"
"Qk",0.116510527646314,0.00365129607647327,"QKI",0.627873801897697,0.00248291076654324,"Up","Up","Concordant"
"Sec14l5",0.212898898727281,0.00387323627098975,"SEC14L5",1.58327555886197,0.00068014537123565,"Up","Up","Concordant"
"Gjc3",-0.133720719279721,0.00459969751832799,"GJC3",1.77220224797196,0.000641135206273757,"Down","Up","Discordant"
"Arpc5",-0.196780937265641,0.00541042309204722,"ARPC5",0.505439422648017,0.0266454944868607,"Down","Up","Discordant"
"Sh3glb1",-0.135730340470131,0.00603095830937285,"SH3GLB1",0.394652419507943,0.0258889413837206,"Down","Up","Discordant"
"Gpr37l1",-0.200630042759388,0.00819900239140712,"GPR37L1",1.34688202118724,0.0057794070837936,"Down","Up","Discordant"
"Kcna2",-0.208102130570573,0.00861317905051584,"KCNA2",0.940367612256028,0.0157561500277667,"Down","Up","Discordant"
