"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ddit4",0.420599780374488,2.14428963922709e-27,"DDIT4",0.774687726686025,0.00446078167606851,"Up","Up","Concordant"
"Cntf",0.442682242959067,3.42573390000166e-24,"CNTF",2.62653624340717,0.000270677068410278,"Up","Up","Concordant"
"Hmgcs1",0.388934667873031,1.20158367499147e-23,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Arid5b",0.319600652208576,1.38561189308076e-21,"ARID5B",1.00233724445659,2.65653545696934e-09,"Up","Up","Concordant"
"Sparc",0.347927996144305,1.78876116808981e-20,"SPARC",0.59245081141209,0.00477617873902357,"Up","Up","Concordant"
"Mal",0.313581273009604,2.66010466490441e-19,"MAL",1.03220087595097,0.00607270508940302,"Up","Up","Concordant"
"Tsc22d3",0.247203619089529,4.39975696067685e-18,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Up","Up","Concordant"
"Cadm3",0.307536348549148,7.6372837795085e-18,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Cadm4",0.315391633466047,6.66296079094836e-17,"CADM4",1.03396526149194,0.0040831373817211,"Up","Up","Concordant"
"Ucp2",0.281102214069046,1.11198199260346e-16,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Tsc22d4",0.228796221896061,2.69182598687992e-16,"TSC22D4",0.890100934935264,3.43188909345328e-06,"Up","Up","Concordant"
"Pttg1ip",0.219020771594988,9.58460913482349e-16,"PTTG1IP",0.331388807252075,0.0121856217054011,"Up","Up","Concordant"
"Insig1",0.249260951877089,1.0187367760067e-15,"INSIG1",1.78081155283182,1.48228432660999e-05,"Up","Up","Concordant"
"Crlf3",0.200495101191045,1.64101158282561e-15,"CRLF3",0.674211248765869,0.020962088936711,"Up","Up","Concordant"
"Sema5a",0.251764951939548,3.04616809448981e-15,"SEMA5A",0.822533121468287,0.00184069332767274,"Up","Up","Concordant"
"Cryab",0.295581884052774,5.81958470639967e-15,"CRYAB",1.08341602218809,5.7269190274382e-05,"Up","Up","Concordant"
"Gldn",0.216660246275405,7.50438650924261e-15,"GLDN",2.35105038421498,2.1621471920167e-09,"Up","Up","Concordant"
"Nfkbia",0.214402294896137,1.7302734080797e-14,"NFKBIA",1.98951729214316,9.71898576407927e-16,"Up","Up","Concordant"
"Dag1",0.259104974665127,2.73592406580788e-14,"DAG1",0.452299922636794,0.0319723226206573,"Up","Up","Concordant"
